kelly_proportion,stack
1.0,1070
0.65,990
0.45,980
0.05,1000
0.7,1000
0.55,960
0.2,1000
0.15,1000
0.35,1000
0.95,1150
0.8,990
0.9,980
0.15,1000
0.35,1000
0.6,960
0.3,1000
0.1,1000
0.45,920
0.45,860
0.95,990
0.05,980
0.45,1000
0.15,1000
0.1,1000
0.55,1000
0.75,1170
0.75,1000
0.4,1000
1.0,990
0.2,980
0.3,980
0.1,1000
0.4,940
0.2,1000
0.3,1000
0.85,1110
0.8,1000
0.4,1060
0.45,980
0.35,1000
0.15,980
0.5,1000
0.15,980
0.95,1000
0.3,1000
0.75,1130
0.2,990
0.2,980
0.35,1000
0.4,1000
0.8,1000
0.8,900
0.25,1000
0.7,1000
0.8,1000
0.2,990
0.2,980
0.15,1000
0.85,1070
0.75,960
0.45,1000
0.75,1000
0.8,1000
0.95,1170
0.2,990
0.35,980
1.0,960
0.45,1000
0.7,900
0.7,1000
0.2,1000
0.15,1000
0.2,1000
1.0,1020
0.15,980
0.3,1000
0.9,1000
0.75,1000
0.7,1000
0.6,1000
0.6,1000
0.3,1110
0.65,990
0.4,920
0.5,1000
0.75,1000
0.1,1000
0.6,1000
0.75,1000
0.4,980
0.3,1000
0.7,1050
0.85,980
0.45,970
0.55,1000
0.95,1000
0.15,1000
0.35,1000
0.55,1000
0.95,1000
0.25,990
0.65,980
1.0,1030
0.2,1000
0.15,1000
0.65,1000
0.65,1000
0.6,1000
0.2,1000
0.45,990
0.05,980
0.55,1000
0.55,1030
0.95,1000
0.25,1000
0.75,1000
0.15,1000
0.75,1000
0.65,840
0.85,1180
1.0,980
0.15,1000
0.9,1000
0.25,1000
0.4,1000
0.85,1000
0.05,1000
0.45,1060
1.0,980
0.1,1000
0.7,1000
0.5,1000
1.0,960
0.65,1000
0.2,1000
0.5,980
0.45,1040
0.3,980
0.95,1000
0.05,1000
0.1,1000
0.2,1000
0.1,1000
0.35,1000
0.4,980
0.95,990
0.7,980
0.2,1000
0.65,1000
0.35,1000
0.55,1050
0.35,1000
0.85,1000
0.05,1000
1.0,990
0.9,980
0.45,1000
0.45,1000
0.7,960
0.5,1000
0.5,1070
0.1,1000
0.35,1000
0.45,990
0.55,920
0.9,1000
0.7,1000
0.35,1000
0.45,1110
0.15,980
0.65,1000
0.2,980
1.0,1180
0.55,980
0.8,940
0.5,940
0.6,1000
0.75,980
0.75,1000
0.6,1000
0.8,1000
0.25,990
0.8,960
0.45,960
0.9,1090
0.7,1000
0.85,1000
0.1,1000
0.1,1000
0.15,1000
0.65,990
0.15,1030
0.05,1000
0.65,980
0.05,1000
0.6,1000
0.15,1000
0.6,1000
0.05,1000
0.75,990
0.3,980
0.05,1000
0.1,1000
0.1,1000
0.8,1050
0.2,980
0.15,1000
0.45,1000
0.85,990
0.8,920
1.0,1000
0.25,1000
0.95,1090
0.7,1000
0.2,1000
0.15,1000
0.7,920
0.9,990
0.1,980
0.75,1000
0.5,1130
0.6,980
0.9,1000
0.3,1000
0.75,1000
0.4,1000
0.2,990
0.1,980
0.4,1000
0.85,1000
0.45,980
0.3,1050
0.3,1000
0.4,1000
0.15,1190
0.75,940
0.05,980
0.8,1000
0.8,980
0.7,1000
0.4,970
0.4,1000
0.65,940
0.15,1000
0.35,940
0.7,980
0.9,1080
0.45,1000
0.45,1000
0.85,1000
0.45,1000
0.05,1000
0.2,1000
0.95,990
0.45,980
0.6,1030
0.4,1000
0.25,1000
0.05,1000
0.65,1000
0.95,1000
0.25,1000
0.35,1090
0.1,980
0.9,1000
0.8,980
0.75,1000
0.6,980
0.95,970
0.35,1000
0.8,1000
0.4,990
1.0,1010
0.5,1000
0.15,1000
0.75,1000
0.8,1000
0.2,1000
0.8,1000
0.85,1000
0.9,990
0.2,980
0.45,1000
0.4,1000
0.4,1000
