sample_size,win_rate
15,0.2
15,0.3333333333333333
15,0.4666666666666667
15,0.6333333333333333
15,0.3333333333333333
15,0.13333333333333333
15,0.4666666666666667
15,0.26666666666666666
15,0.06666666666666667
15,0.4
15,0.06666666666666667
15,0.3333333333333333
15,0.4
15,0.26666666666666666
15,0.26666666666666666
15,0.13333333333333333
15,0.26666666666666666
15,0.26666666666666666
15,0.26666666666666666
15,0.2
15,0.13333333333333333
15,0.23333333333333334
15,0.4666666666666667
15,0.1
15,0.26666666666666666
15,0.3333333333333333
15,0.3333333333333333
15,0.23333333333333334
15,0.2
15,0.13333333333333333
30,0.26666666666666666
30,0.36666666666666664
30,0.36666666666666664
30,0.26666666666666666
30,0.38333333333333336
30,0.23333333333333334
30,0.3333333333333333
30,0.26666666666666666
30,0.0833385266592602
30,0.35
30,0.3
30,0.3333333333333333
30,0.23333333333333334
30,0.23333834119169286
30,0.4
30,0.25
30,0.23333333333333334
30,0.2833333333333333
30,0.36666666666666664
30,0.16666666666666666
30,0.23333333333333334
30,0.3333333333333333
30,0.23333333333333334
30,0.36666666666666664
30,0.2
30,0.31666666666666665
30,0.26666666666666666
30,0.23333333333333334
30,0.2333356102003643
30,0.3333333333333333
60,0.325
60,0.20833333333333334
60,0.26666666666666666
60,0.3
60,0.26666666666666666
60,0.26666666666666666
60,0.30833333333333335
60,0.275
60,0.35
60,0.30833333333333335
60,0.3
60,0.2833333333333333
60,0.38333333333333336
60,0.10833333333333334
60,0.275
60,0.31666761197133836
60,0.31666666666666665
60,0.26666666666666666
60,0.30833333333333335
60,0.31666757726420075
60,0.18333333333333332
60,0.18333333333333332
60,0.31666666666666665
60,0.25
60,0.25
60,0.24166666666666667
60,0.35833333333333334
60,0.20833333333333334
60,0.20833333333333334
60,0.26666666666666666
120,0.2250004066429187
120,0.25833373192391706
120,0.2833333333333333
120,0.275
120,0.31666666666666665
120,0.2916666666666667
120,0.30833333333333335
120,0.28750036670333695
120,0.2375
120,0.25833333333333336
120,0.225
120,0.2375
120,0.29583366942259864
120,0.19583333333333333
120,0.3125003257626103
120,0.3041669891391275
120,0.26666666666666666
120,0.225
120,0.20833364435984522
120,0.2791666666666667
120,0.22916666666666666
120,0.25
120,0.3
120,0.275
120,0.23333333333333334
120,0.36250028420071395
120,0.1875
120,0.25833333333333336
120,0.22916666666666666
120,0.3416666666666667
