wins_1,losses_1,ties_1,wins_2,losses_2,ties_2
1552,292,136,2508960,1357648,560672
1628,236,116,2756400,1168848,502032
1518,450,12,2447932,1931564,47784
168,1746,66,26208,4373312,27760
1722,84,174,3306240,392432,728608
1906,68,6,3924704,460640,41936
0,1962,18,0,4426992,288
784,1048,148,594958,3559808,272514
276,1598,106,71040,4283320,72920
1316,662,2,1866640,2547792,12848
1772,200,8,3444112,940080,43088
440,1450,90,184800,4149744,92736
1780,188,12,3414576,955392,57312
582,1338,60,326196,4021284,79800
536,1426,18,282720,4122624,21936
1538,342,100,2443124,1585680,398476
1376,544,60,1976928,2239706,210646
1592,376,12,2707266,1669956,50058
500,1462,18,246550,4160904,19826
380,1474,126,138442,4169940,118898
1906,56,18,4027752,317376,82152
410,1444,126,160750,4139688,126842
136,1826,18,17280,4404288,5712
1936,44,0,4191240,236040,0
1246,722,12,1640574,2748108,38598
1136,832,12,1297376,3094256,35648
304,1658,18,90368,4324432,12480
1088,768,124,1148928,2927760,350592
536,1426,18,282720,4122624,21936
1508,388,84,2352326,1746600,328354
852,1036,92,741016,3479216,207048
1050,918,12,1129656,3264600,33024
0,1722,258,0,4360200,67080
712,1208,60,496768,3823042,107470
1196,782,2,1458504,2957332,11444
360,1602,18,126720,4285824,14736
246,1668,66,56592,4332516,38172
0,1608,372,0,4288840,138440
648,1316,16,412432,3990694,24154
984,978,18,959136,3427776,40368
820,1150,10,691354,3713426,22500
1444,476,60,2199192,2002000,226088
0,1962,18,0,4426992,288
1182,760,38,1434352,2873318,119610
624,1218,138,374400,3849920,202960
1930,44,6,4085816,298952,42512
288,1650,42,78336,4321056,27888
760,1144,76,553984,3724672,148624
0,1578,402,0,4264872,162408
408,1482,90,159264,4181616,86400
288,1578,114,78336,4266480,82464
984,978,18,959136,3427776,40368
1062,906,12,1156020,3238650,32610
228,1734,18,50346,4367880,9054
448,1514,18,198144,4210800,18336
784,1092,104,594958,3644740,187582
440,1450,90,184800,4149744,92736
0,1938,42,0,4425600,1680
736,1226,18,538368,3858864,30048
1836,144,0,3734988,685300,6992
1872,96,12,3861960,504128,61192
1548,420,12,2579568,1797576,50136
1810,116,54,3475648,602608,349024
624,1242,114,374400,3887632,165248
1344,560,76,1888822,2278508,259950
1124,854,2,1332928,3083536,10816
1934,46,0,4186892,240388,0
