2024-09-19 14:44:07: Training starting...
2024-09-19 14:44:08: New best reward -8.1 (+nan%) at episode 0, saving model...
2024-09-19 14:44:08: New best reward -6.9 (-14.8%) at episode 1, saving model...
2024-09-19 14:44:08: New best reward -5.7 (-17.4%) at episode 4, saving model...
2024-09-19 14:44:08: New best reward -4.5 (-21.1%) at episode 7, saving model...
2024-09-19 14:44:08: New best reward -3.9 (-13.3%) at episode 8, saving model...
2024-09-19 14:44:11: New best reward -2.7 (-30.8%) at episode 252, saving model...
2024-09-19 14:44:15: New best reward -2.1 (-22.2%) at episode 674, saving model...
2024-09-19 14:44:16: New best reward -0.3 (-85.7%) at episode 682, saving model...
2024-09-19 14:44:29: New best reward 0.3 (-200.0%) at episode 1679, saving model...
2024-09-19 14:44:39: New best reward 0.9 (+200.0%) at episode 2404, saving model...
2024-09-19 14:44:42: New best reward 3.9 (+333.3%) at episode 2675, saving model...
2024-09-19 14:45:49: New best reward 4.1 (+5.1%) at episode 7432, saving model...
2024-09-19 14:46:15: New best reward 6.3 (+53.7%) at episode 9208, saving model...
2024-09-19 14:46:34: New best reward 6.6 (+4.8%) at episode 10441, saving model...
2024-09-19 14:46:50: New best reward 6.7 (+1.5%) at episode 11440, saving model...
2024-09-19 14:47:23: New best reward 8.4 (+25.4%) at episode 13576, saving model...
2024-09-19 14:48:59: New best reward 9.2 (+9.5%) at episode 19495, saving model...
2024-09-19 15:14:21: New best reward 12.9 (+40.2%) at episode 99284, saving model...
2024-09-19 15:17:36: New best reward 17.9 (+38.8%) at episode 107704, saving model...
2024-09-19 15:18:32: New best reward 18.1 (+1.1%) at episode 110003, saving model...
2024-09-19 15:19:24: New best reward 22.4 (+23.8%) at episode 112093, saving model...
2024-09-19 15:19:38: New best reward 22.7 (+1.3%) at episode 112651, saving model...
2024-09-19 15:20:04: New best reward 23.5 (+3.5%) at episode 113653, saving model...
2024-09-19 15:20:34: New best reward 27.6 (+17.4%) at episode 114786, saving model...
2024-09-19 15:22:17: New best reward 31.9 (+15.6%) at episode 118671, saving model...
2024-09-19 15:25:11: New best reward 34.5 (+8.2%) at episode 124991, saving model...
2024-09-19 15:26:34: New best reward 38.9 (+12.8%) at episode 127939, saving model...
2024-09-19 15:36:08: New best reward 39.1 (+0.5%) at episode 146287, saving model...
2024-09-19 15:36:33: New best reward 43.2 (+10.5%) at episode 147056, saving model...
2024-09-19 15:38:30: New best reward 54.9 (+27.1%) at episode 150546, saving model...
2024-09-19 15:41:34: New best reward 55.6 (+1.3%) at episode 155717, saving model...
2024-09-19 15:54:43: New best reward 66.7 (+20.0%) at episode 177786, saving model...
2024-09-19 16:23:52: New best reward 75.1 (+12.6%) at episode 223564, saving model...
