2024-09-19 16:25:40: Training starting...
2024-09-19 16:25:41: New best reward -7.5 (+nan%) at episode 0, saving model...
2024-09-19 16:25:41: New best reward -6.9 (-8.0%) at episode 5, saving model...
2024-09-19 16:25:42: New best reward -5.7 (-17.4%) at episode 11, saving model...
2024-09-19 16:25:42: New best reward -5.1 (-10.5%) at episode 18, saving model...
2024-09-19 16:25:48: New best reward -4.5 (-11.8%) at episode 115, saving model...
2024-09-19 16:25:56: New best reward -2.1 (-53.3%) at episode 227, saving model...
2024-09-19 16:27:08: New best reward -0.9 (-57.1%) at episode 968, saving model...
2024-09-19 16:27:54: New best reward 0.9 (-200.0%) at episode 1430, saving model...
2024-09-19 16:28:06: New best reward 2.1 (+133.3%) at episode 1555, saving model...
2024-09-19 16:30:21: New best reward 3.9 (+85.7%) at episode 2907, saving model...
2024-09-19 16:33:17: New best reward 4.3 (+10.3%) at episode 4724, saving model...
2024-09-19 16:40:00: New best reward 4.6 (+7.0%) at episode 9009, saving model...
2024-09-19 16:42:16: New best reward 4.9 (+6.5%) at episode 10489, saving model...
2024-09-19 16:43:08: New best reward 6.4 (+30.6%) at episode 11059, saving model...
2024-09-19 16:45:04: New best reward 6.5 (+1.6%) at episode 12360, saving model...
2024-09-19 16:45:50: New best reward 6.6 (+1.5%) at episode 12869, saving model...
2024-09-19 16:48:04: New best reward 8.4 (+27.3%) at episode 14355, saving model...
2024-09-19 16:49:00: New best reward 9.4 (+11.9%) at episode 14994, saving model...
2024-09-19 16:58:04: New best reward 15.1 (+60.6%) at episode 21179, saving model...
