2024-09-19 16:25:50: Training starting...
2024-09-19 16:25:51: New best reward -7.5 (+nan%) at episode 0, saving model...
2024-09-19 16:25:51: New best reward -6.3 (-16.0%) at episode 1, saving model...
2024-09-19 16:25:54: New best reward -4.5 (-28.6%) at episode 27, saving model...
2024-09-19 16:25:57: New best reward -2.1 (-53.3%) at episode 70, saving model...
2024-09-19 16:26:28: New best reward 3.9 (-285.7%) at episode 399, saving model...
2024-09-19 16:36:10: New best reward 4.3 (+10.3%) at episode 6370, saving model...
2024-09-19 16:37:06: New best reward 4.4 (+2.3%) at episode 6976, saving model...
2024-09-19 16:37:51: New best reward 4.6 (+4.5%) at episode 7454, saving model...
2024-09-19 16:38:20: New best reward 4.7 (+2.2%) at episode 7771, saving model...
2024-09-19 16:39:49: New best reward 4.9 (+4.3%) at episode 8737, saving model...
2024-09-19 16:40:22: New best reward 6.3 (+28.6%) at episode 9094, saving model...
2024-09-19 16:43:10: New best reward 6.6 (+4.8%) at episode 10948, saving model...
2024-09-19 16:43:41: New best reward 6.7 (+1.5%) at episode 11292, saving model...
2024-09-19 16:48:13: New best reward 8.4 (+25.4%) at episode 14329, saving model...
2024-09-19 16:55:02: New best reward 8.9 (+6.0%) at episode 18968, saving model...
2024-09-19 16:56:46: New best reward 9.4 (+5.6%) at episode 20159, saving model...
2024-09-19 20:13:38: New best reward 12.9 (+37.2%) at episode 149183, saving model...
2024-09-19 20:15:21: New best reward 15.0 (+16.3%) at episode 150115, saving model...
2024-09-19 20:16:56: New best reward 22.4 (+49.3%) at episode 150927, saving model...
2024-09-19 20:20:09: New best reward 31.9 (+42.4%) at episode 152555, saving model...
2024-09-19 20:26:03: New best reward 32.4 (+1.6%) at episode 155443, saving model...
2024-09-19 20:30:30: New best reward 45.9 (+41.7%) at episode 157469, saving model...
2024-09-19 20:56:29: New best reward 46.8 (+2.0%) at episode 168621, saving model...
2024-09-19 21:14:54: New best reward 62.7 (+34.0%) at episode 175754, saving model...
